bare,translations_en
самолёт,aircraft
деревня,village
картина,picture
будущее,the future
коридор,corridor
ум,mind
кабинет,study
колено,knee
бутылка,bottle
телефон,telephone
компания,company
доктор,doctor of Philosophy
автор,author
мужик,muzhik
интерес,interest
счёт,counting
лейтенант,lieutenant
оружие,arm
игра,play
бой,battle
качество,quality
член,member
хлеб,bread
развитие,development
банк,bank
совет,Soviet
трубка,tube
ладонь,palm
институт,institute
правительство,government
идея,idea
точка,point
уровень,level
профессор,professor
наука,science
событие,event
союз,union
король,king
половина,half
метр,metre
вера,faith
область,oblast
ситуация,situation
кухня,kitchen
надежда,hope
род,family
офицер,officer
течение,flow
информация,information
граница,boundary
слеза,tear
рассказ,story
борьба,struggle
шея,neck
десяток,ten
толпа,crowd
родитель,parent
правило,rule
секунда,second
программа,program
фамилия,name
звук,sound
роман,novel
чай,tea
роль,role
сознание,consciousness
команда,command
магазин,shop
ворот,gate
полковник,colonel
природа,nature
запах,smell
поэт,poet
район,region
лист,leaf
стекло,glass
количество,quantity
этаж,floor
тип,type
свобода,freedom
сапог,boot
суд,law-court
выход,way out
дед,grandfather
лоб,forehead
кресло,arm-chair
дочь,daughter
характер,disposition
площадь,area
управление,management
мнение,opinion
революция,revolution
улыбка,smile
рост,height
лошадь,horse
кожа,skin
поезд,train
баба,woman
цветок,flower
дождь,rain
желание,wish
болезнь,illness
сосед,neighbour
пример,example
дама,lady
орган,organ
поле,field
ящик,box
цена,price
карта,map
слава,glory
радость,gladness
тень,shade
операция,operation
музыка,music
завод,works
лето,summer
станция,station
повод,occasion
воля,will
литература,literature
дурак,fool
приказ,order
гражданин,citizen
крыша,roof
цвет,color
статья,article
круг,circle
факт,fact
стул,chair
лагерь,camp
войско,army
удовольствие,pleasure
вино,wine
возраст,age
лестница,stairs
министр,Minister
фронт,front
Петербург,St Petersburg
сад,garden
задача,problem
мол,pier
темнота,dark
название,name
большинство,majority
организация,organization
дым,smoke
километр,kilometre
председатель,chairman
доллар,dollar
выражение,expression
танк,tank
зима,winter
знак,sign
мозг,brain
учитель,teacher
майор,major
тишина,quiet
деятельность,activities
рыба,fish
щека,cheek
птица,bird
папа,dad
водка,vodka
здание,building
зеркало,looking-glass
искусство,art
начало,beginning
вагон,carriage
автомат,automatic machine
милиция,militia
срок,date
одежда,clothes
корабль,ship
кулак,fist
художник,artist
курс,course
куст,bush
состав,composition
чудо,miracle
кусок,piece
фирма,firm
миллион,million
пространство,space
тема,subject
линия,line
мешок,bag
бабушка,grandmother
крик,cry
рот,mouth
ключ,key
процент,percentage
ощущение,sensation
остров,island
конь,horse
театр,theatre
живот,stomach
производство,production
штаб,staff
детство,childhood
сотня,a hundred
стакан,glass
материал,material
ужас,terror
значение,significance
труба,pipe
способ,way
обстоятельство,circumstance
степень,degree
Германия,Germany
волна,wave
глубина,depth
представитель,representative
нож,knife
рынок,market
студент,student
впечатление,impression
отдел,department
запад,west
очко,pip
успех,success
инженер,engineer
население,population
пыль,dust
знание,knowledge
секретарь,secretary
ошибка,mistake
боец,fighting-man
масса,mass
чёрт,devil
царь,tsar
фигура,figure
противник,enemy
даль,distance
журнал,periodical
направление,direction
победа,victory
сотрудник,collaborator
адрес,address
период,period
еврей,Jew
слух,ear
клуб,club
хвост,tail
предмет,object
лечение,treatment
зрение,sight
беда,misfortune
столица,capital
обед,lunch
культура,culture
высота,height
территория,territory
костюм,costume
попытка,attempt
дно,bottom
страница,page
еда,food
размер,dimensions
предприятие,undertaking
сцена,stage
фотография,photography
заболевание,disease
принцип,principle
миг,moment
Европа,Europe
тётя,aunt
мастер,foreman
отряд,detachment
старуха,old woman
руководитель,leader
житель,inhabitant
меч,sword
господь,God
тюрьма,prison
дворец,palace
камера,cell
существо,being
билет,ticket
фраза,phrase
весна,spring
лодка,boat
фильм,film
больница,hospital
смех,laughter
специалист,specialist
образование,formation
мальчишка,urchin
продукт,product
пистолет,pistol
родина,native land
личность,personality
скорость,speed
участок,lot
текст,text
зверь,wild animal
артист,artist
автомобиль,motor car
участие,participation
кот,tom-cat
мост,bridge
здоровье,health
костёр,bonfire
человечество,humanity
пуля,bullet
сомнение,doubt
отсутствие,absence
мясо,flesh
читатель,reader
доска,board
убийство,murder
мгновение,instant
восток,east
настроение,mood
пауза,pause
приём,receiving
порог,threshold
фон,background
пропасть,precipice
песок,sand
долг,debt
предложение,offer
работник,worker
сожаление,regret
горло,throat
ресторан,restaurant
список,list
праздник,holiday
покой,rest
шутка,joke
автобус,bus
рада,glad
вариант,version
дыхание,breathing
организм,organism
жертва,sacrifice
начальство,command
рукав,sleeve
занятие,occupation
охрана,guarding
масло,butter
кость,bone
пиво,beer
чиновник,official
эхо,echo
потолок,ceiling
руководство,guidance
защита,defence
энергия,energy
звонок,bell
сигарета,cigarette
тепло,heat
кошка,cat
зона,zone
диван,divan
предел,limit
постель,bed
тайна,mystery
туман,mist
книжка,book
воспоминание,recollection
Ленинград,Leningrad
существование,existence
королева,queen
вход,entrance
церковь,church
преступление,crime
музей,museum
планета,planet
опасность,danger
поиск,search
палатка,tent
источник,spring
основание,foundation
родственник,relation
осень,autumn
представление,presentation
способность,ability
понятие,idea
тон,tone
аппарат,apparatus
водитель,driver
крыло,wing
изменение,change
беседа,conversation
пост,post
вывод,withdrawal
комиссия,commission
множество,great number
явление,appearance
красота,beauty
мороз,frost
дача,giving
пастух,herdsman
площадка,ground
усилие,effort
приятель,friend
ручка,pen
журналист,journalist
выстрел,shot
озеро,lake
сумка,bag
кино,cinema
должность,post
зло,evil
позиция,position
удивление,astonishment
следователь,investigator
ученик,pupil
основа,base
горе,grief
рождение,birth
песня,song
полок,shelf
старшина,foreman
колесо,wheel
проект,project
совесть,conscience
суть,essence
режим,regime
стен,sthene
чемодан,suitcase
платье,clothes
хозяйство,economy
полиция,police
пункт,point
ствол,trunk
толк,sense
вкус,taste
добро,good
портрет,portrait
полк,regiment
кофе,coffee
отделение,separation
подать,tax
обстановка,furniture
пятно,spot
бровь,eyebrow
телевизор,television set
база,base
тревога,alarm
помещение,location
урок,lesson
поведение,conduct
создание,creation
собрание,meeting
дедушка,grandfather
безопасность,safety
функция,function
нарушение,breach
экран,screen
шапка,cap
полоса,stripe
хозяйка,mistress
грязь,dirt
заявление,statement
труп,dead body
подарок,present
рубашка,shirt
август,August
объект,object
университет,university
охота,hunt
штука,piece
муха,fly
молоко,milk
буква,letter
вершина,top
поверхность,surface
товар,commodity
лапа,paw
гостиница,hotel
середина,middle
бригада,brigade
признак,sign
среда,Wednesday
политика,politics
капля,drop
вес,weight
комитет,committee
плащ,cloak
поток,stream
холод,cold
Париж,Paris
записка,note
появление,appearance
платок,shawl
корпус,body
сведение,information
забор,fence
октябрь,October
строй,system
морда,muzzle
краска,paint
кружок,circle
могила,grave
облако,cloud
шкаф,cupboard
милиционер,militiaman
сумма,sum
сеть,net
грех,sin
ожидание,waiting
необходимость,necessity
инспектор,inspector
сообщение,report
стенка,wall
подъезд,porch
парк,park
вокзал,station building
борт,side
взрыв,explosion
расстояние,distance
локоть,elbow
актёр,actor
ус,moustache
куртка,jacket
луна,moon
скала,rock
экономика,economy
песнь,canto
шинель,greatcoat
лёд,ice
волк,wolf
структура,structure
сержант,sergeant
клетка,cage
поколение,generation
газ,gas
пила,saw
файл,file
орудие,instrument
коллега,colleague
просьба,request
выбор,choice
куча,heap
корень,root
содержание,maintenance
разница,difference
остаток,remainder
расчёт,calculation
температура,temperature
республика,republic
пояс,belt
сентябрь,September
дивизия,division
гриб,fungus
сравнение,comparison
бабка,grandmother
реакция,reaction
тоска,melancholy
посёлок,settlement
кольцо,ring
достоинство,dignity
слой,layer
страсть,passion
напряжение,effort
коммунист,communist
участник,participant
подруга,friend
изба,izba
голод,hunger
пёс,dog
заместитель,deputy
истина,truth
колонна,column
оборона,defence
элемент,element
пиджак,coat
крыльцо,porch
отличие,difference
исследование,investigation
орден,order
техника,engineering
канал,canal
девчонка,girl
крест,cross
теория,theory
луч,ray
молчание,silence
батарея,battery
устройство,arrangement
палка,stick
фонарь,lantern
контроль,control
ветка,branch
влияние,influence
разведка,secret service
справа,to the right
польза,use
дочка,daughter
надпись,inscription
обезьяна,monkey
склад,storehouse
север,north
печать,seal
пальто,coat
любопытство,curiosity
тарелка,plate
следствие,consequence
ракета,rocket
зарплата,salary
топор,axe
убийца,killer
сущность,essence
домик,cottage
запись,writing down
пожар,fire
пачка,packet
ага,cane toad
свидетель,witness
пища,food
забота,anxiety
открытие,opening
девица,girl
вождь,leader
одеяло,blanket
храм,temple
пассажир,passenger
строительство,building
поездка,journey
рана,wound
верёвка,rope
погода,weather
паспорт,passport
привычка,habit
холм,hill
шоссе,highway
поворот,turn
восторг,excitement
мечта,dream
кабина,booth
картошка,potatoes
борода,beard
запас,stock
тайга,taiga
молодец,brave
пресса,the press
подробность,detail
талант,talent
особенность,peculiarity
дружба,friendship
памятник,monument
помощник,assistant
шляпа,hat
произведение,work
подготовка,preparation
вызов,call
батальон,battalion
смена,changing
потеря,loss
сигнал,signal
затылок,back of the head
мотор,motor
обида,offence
профессия,occupation
юноша,youth
юг,south
доля,part
воин,fighting man
медведь,bear
вёдро,bucket
сказка,tale
полёт,flight
пулемёт,machine-gun
железо,iron
механизм,mechanism
тьма,dark
новость,news
строка,line
сфера,sphere
комиссар,commissar
малыш,small child
повесть,narrative
поражение,defeat
цифра,figure
компьютер,computer
угроза,threat
исключение,exclusion
бумажка,scrap of paper
договор,agreement
башня,tower
секрет,secret
лампа,lamp
ремень,strap
глупость,foolishness
библиотека,library
ботинок,shoe
ткань,cloth
халат,dressing-gown
океан,ocean
деталь,detail
молодёжь,youth
радио,radio
лидер,leader
корова,cow
преступник,criminal
итог,sum
задание,task
заседание,sitting
папка,father
Франция,France
депутат,deputy
молодость,youth
норма,standard
гном,gnome
цепь,chain
метода,method
ответственность,responsibility
пакет,package
уважение,respect
контакт,contact
пот,sweat
подвал,basement
ужин,supper
переход,passage
бег,run
американец,American
традиция,tradition
столб,post
услуга,service
шеф,chief
вещество,matter
баня,Russian baths
снаряд,projectile
вор,thief
разведчик,secret service man
редактор,editor
бандит,gunman
подушка,pillow
грузовик,lorry
раствор,opening
яма,pit
министерство,ministry
модель,model
инструмент,instrument
золото,gold
стрелок,shot
жест,gesture
ноябрь,November
эпоха,epoch
отдых,rest
передача,transmission
шар,ball
звание,rank
обязанность,duty
волнение,agitation
щель,chink
акция,share
узел,knot
гроб,coffin
редакция,editorial staff
распоряжение,order
май,May
поддержка,backing
дверца,door
Чечня,Chechnya
марка,stamp
разрешение,permission
император,emperor
листок,form
двигатель,motor
присутствие,presence
лев,lion
возвращение,return
коробка,box
поступок,action
симптом,symptom
кладбище,cemetery
комплекс,complex
шанс,chance
ложка,spoon
старушка,old lady
наблюдение,observation
декабрь,December
палата,chamber
судья,judge
порт,port
винтовка,rifle
горизонт,horizon
портфель,briefcase
спутник,companion
июнь,June
требование,demand
ценность,value
гений,genius
пламя,flame
стиль,style
лук,onion
госпиталь,hospital
агент,agent
коньяк,cognac
публика,public
князь,prince
ненависть,hatred
собственность,property
март,March
вертолёт,helicopter
дар,gift
моряк,seaman
перо,feather
колхоз,kolkhoz
владелец,owner
концерт,concert
знакомство,acquaintance
слабость,weakness
рыбак,fisherman
яйцо,egg
отель,hotel
лаборатория,laboratory
степь,steppe
объяснение,explanation
туча,cloud
взвод,platoon
огород,garden
клиент,client
мелочь,small fry
склон,slope
верх,top
пушок,fluff
тётка,aunt
лётчик,flier
лекарство,medicine
гвоздь,nail
ружьё,gun
кандидат,candidate
разум,reason
благо,blessing
назначение,fixing
нерв,nerve
администрация,administration
бельё,linen
подбородок,chin
этап,stage
бомба,bomb
политик,political figure
карьера,career
действительность,reality
заяц,hare
дума,thought
метро,metro
городок,town
экзамен,examination
гибель,death
ангел,angel
огонёк,light
доклад,lecture
последствие,consequence
сволочь,riff-raff
роза,rose
яблоко,apple
кадр,sequence
дорожка,path
губернатор,governor
тяжесть,weight
частность,detail
пенсия,pension
июль,July
фонд,fund
воображение,imagination
искра,spark
отчаяние,despair
бизнес,business
болото,bog
сэр,sir
виза,visa
отпуск,leave
изображение,representation
оценка,estimation
груз,load
бюджет,budget
использование,utilization
кролик,rabbit
доказательство,proof
танец,dance
внук,grandson
гордость,pride
получение,receipt
стук,knock
январь,January
шкура,skin
заключение,conclusion
ковёр,carpet
койка,cot
недостаток,lack
наличие,presence
статус,status
поход,march
училище,school
рыцарь,knight
прибор,device
карточка,card
государь,sovereign
путешествие,journey
зритель,spectator
империя,empire
девка,girl
давление,pressure
патрон,patron
мина,mine
спектакль,play
применение,application
лекция,lecture
желудок,stomach
супруг,husband
потребность,want
галстук,tie
док,dock
социализм,socialism
свадьба,wedding
соль,salt
руль,rudder
мука,torment
штат,state
бочок,flank
скандал,scandal
завтрак,breakfast
версия,version
понимание,understanding
охотник,hunter
пустыня,desert
речка,small river
бревно,log
стрела,arrow
академия,academy
промышленность,industry
посуда,tableware
идиот,idiot
допрос,interrogation
продажа,sale
конфликт,conflict
свойство,property
кусочек,a piece
судно,boat
рамка,frame
карандаш,pencil
бригадир,brigade-leader
грохот,crash
драка,fight
мак,poppy
анализ,analysis
выступление,appearance
неприятность,trouble
торговля,trade
москвич,Muscovite
транспорт,transport
справедливость,justice
остановка,stop
невеста,bride
рукопись,manuscript
блок,bloc
экспедиция,expedition
уверенность,confidence
красавица,beauty
крышка,lid
удача,good luck
сарай,shed
контора,office
одиночество,solitude
дьявол,devil
рассвет,dawn
академик,academician
обмен,exchange
каша,kasha
спичка,match a device to make fire
спора,spore
перевод,transference
кафе,cafe
режиссёр,producer
воскресенье,Sunday
блеск,lustre
проверка,verification
сахар,sugar
лопата,spade
надел,plot of arable land
питание,nourishment
прокурор,public prosecutor
экипаж,carriage
лифт,lift
такси,taxi
трус,coward
иностранец,foreigner
лента,ribbon
цех,shop
балкон,balcony
мода,fashion
ступенька,step
выставка,exhibition
окончание,termination
суп,soup
сено,hay
акт,act
указание,indication
молния,lightning
глоток,drink
поза,pose
пустота,emptiness
реальность,reality
музыкант,musician
свидание,meeting
брак,marriage
глазок,eye
свинья,pig
рубаха,shirt
спирт,alcohol
принц,prince
намерение,intention
плод,fruit
рубеж,boundary
майка,T-shirt
ножка,leg
проход,passage
мистер,mister
происхождение,origin
достижение,achievement
проявление,manifestation
цивилизация,civilization
окоп,trench
творчество,creation
туалет,toilet
коммунизм,Communism
визит,visit
корреспондент,correspondent
учреждение,founding
нация,nation
прибыль,profit
атмосфера,atmosphere
величество,majesty
стоимость,cost
страдание,suffering
вина,fault
ведьма,witch
зависимость,dependence
рисунок,drawing
ноготь,nail
ложь,lie
соображение,consideration
белок,white
повышение,rise
папироса,cigarette
тряпка,rag
барон,baron
посетитель,visitor
перемена,change
плита,plate
картинка,picture
комбат,battalion commander
коллектив,collective
чтение,reading
объём,volume
исполнение,fulfilment
пароход,steamer
подвиг,exploit
продукция,production
воздействие,influence
кирпич,brick
копейка,copeck
наказание,punishment
готовность,readiness
уголок,corner
установка,putting
федерация,federation
слуга,servant
подпись,signature
сбор,collection
отказ,refusal
металл,metal
пещера,cave
тротуар,pavement
атака,attack
решётка,grating
переулок,side-street
препарат,preparation
совещание,conference
нужда,need
тыл,back
наряд,outfit
советник,adviser
жалость,compassion
чашка,cup
люк,hatchway
носок,toe
спорт,sport
окружение,encirclement
арест,arrest
налог,tax
демократия,democracy
олень,deer
турист,tourist
эффект,effect
конференция,conference
разрыв,break
сосна,pine
барин,barin
нападение,attack
суббота,Saturday
Украина,Ukraine
мыло,soap
протокол,report
лавка,bench
примета,sign
усталость,tiredness
величина,size
съезд,congress
эксперимент,experiment
боцман,boatswain
свеча,candle
асфальт,asphalt
масштаб,scale
обращение,address
почта,post
монах,monk
рюмка,wineglass
приключение,adventure
старость,old age
зад,back part
точность,exactness
четверть,a quarter
перспектива,perspective
охранник,guard
справка,information
гнев,anger
почва,soil
плюс,plus
рог,horn
колдун,sorcerer
полгода,half a year
сочинение,composing
сопротивление,resistance
реформа,reform
долина,valley
издание,publication
доход,income
окошко,window
расход,expense
жир,fat
змея,snake
проспект,avenue
схема,diagram
несчастье,misfortune
минимум,minimum
Англия,England
спасение,rescue
подоконник,window-sill
подъём,lifting
авиация,aviation
признание,acknowledgement
альбом,album
блюдо,dish
мебель,furniture
апрель,April
кремль,citadel
старичок,little old man
спальня,bedroom
стремление,aspiration
облегчение,facilitation
барак,barrack
сок,juice
подозрение,suspicion
деятель,public figure
ручей,brook
общение,intercourse
колбаса,sausage
любитель,amateur
соответствие,accordance
показание,testimony
легенда,legend
испытание,test
мышка,mouse
челюсть,jaw
италия,Italy
уход,leaving
ремонт,repair
осколок,splinter
соседка,neighbour
телеграмма,telegram
уголь,coal
согласие,consent
звон,peal
заказ,order
чеченец,Chechen
практика,practice
стойка,bar
интеллигенция,intelligentsia
лампочка,electric light bulb
ген,gene
мышца,muscle
благодарность,gratitude
категория,category
пуговица,button
наступление,attack
козёл,he-goat
раб,slave
образец,standard
выполнение,implementation
падение,fall
имущество,property
ток,current
приезд,arrival
пляж,beach
сюжет,subject
монастырь,cloister
подросток,juvenile
богатство,riches
дневник,diary
базар,market
проволока,wire
ярость,fury
воротник,collar
подполковник,lieutenant-colonel
аэропорт,airport
длина,length
авторитет,authority
принцесса,princess
туфля,shoe
ветвь,branch
кризис,crisis
отъезд,departure
предок,ancestor
жидкость,liquid
оркестр,orchestra
дыра,hole
волшебник,magician
обвинение,charge
бред,delirium
рис,rice
маршрут,route
маршал,marshal
большевик,Bolshevik
спинка,back
общежитие,dormitory
определение,determination
гад,reptile
ерунда,nonsense
приступ,assault
крепость,stronghold
треск,crash
интервью,interview
проводник,guide
учительница,teacher
конверт,envelope
анекдот,anecdote
физиономия,physiognomy
трамвай,tram
квартал,quarter
риск,risk
дружок,pal
прыжок,jump
фабрика,factory
оболочка,cover
описание,description
свидетельство,evidence
взор,look
адвокат,advocate
заведение,institution
архив,archives
замысел,project
курсант,student
фуражка,peaked cap
февраль,February
капитал,capital
фашист,fascist
полотенце,towel
инструкция,directions
маг,Magian
лужа,puddle
тонна,ton
напиток,drink
пьеса,play
раздражение,irritation
телевидение,television
жильё,dwelling
процедура,procedure
жених,fiance
натура,nature
маска,mask
конкурс,contest
технология,technology
юность,youth
рёв,roar
ад,hell
струя,stream
аккумулятор,accumulator
Берлин,Berlin
кисть,brush
проведение,construction
ставка,rate
провод,wire
стрельба,shoot
реклама,publicity
комендант,commandant
премьера,premiere
поцелуй,kiss
прогулка,walk
Япония,Japan
орёл,eagle
техник,technician
прогресс,progress
трудность,difficulties
казарма,barracks
нары,plank bed
кислота,sourness
юбка,skirt
полдень,noon
овраг,ravine
череп,skull
доверие,trust
рожа,mug
каюта,room
символ,symbol
дата,date
физика,physics
регион,region
игрушка,toy
стыд,shame
матрос,seaman
гараж,garage
фюрер,Fuhrer
окраина,outskirts
издательство,publishing house
происшествие,incident
ноль,nil
приход,coming
премия,bonus
чайник,teapot
прихожая,hall
сосуд,vessel
котелок,pot
юмор,humour
округ,okrug
хор,chorus
бокал,glass
Лондон,London
машинка,typewriter
щит,shield
рюкзак,rucksack
фантазия,fantasy
учёт,calculation
мероприятие,measure
трагедия,tragedy
награда,reward
партнёр,partner
вопль,yell
перерыв,interruption
набережная,embankment
воспитание,education
недоумение,bewilderment
преподаватель,teacher
приговор,sentence
стадо,herd
копия,copy
увеличение,increase
мадам,madam
наслаждение,delight
табак,tobacco
космос,space
катастрофа,catastrophe
командировка,official journey
холодильник,refrigerator
подход,approach
цепочка,chain
зависть,envy
гул,rumble
зерно,grain
пустяк,trifle
котёл,copper
подряд,contract
флаг,flag
пионер,pioneer
манера,manner
злость,malice
жалоба,complaint
учение,studies
медаль,medal
шпион,spy
сезон,season
пришелец,newcomer
танцор,dancer
преимущество,advantage
облик,look
формула,formula
сынок,son
намёк,hint
командование,command
грек,Greek
оборот,turn
термин,term
идеал,ideal
марш,march
умение,ability
стихотворение,poem
покупатель,buyer
спокойствие,calm
нефть,oil
вена,vein
трактор,tractor
килограмм,kilogramme
добыча,extraction
обычай,custom
мотоцикл,motor cycle
ванна,bath
продолжение,continuation
диск,disk
ссылка,link
тёща,mother-in-law
палуба,deck
перчатка,glove
пузырь,bubble
серия,series
велосипед,bicycle
ресурс,resources
тетрадь,writing-book
жажда,thirst
мусор,debris
петух,cock
порошок,powder
растение,plant
удав,boa
башмак,shoe
лыжа,ski
пропаганда,information
бык,bull
снижение,lowering
плач,weeping
салон,salon
замечание,remark
беспокойство,anxiety
братец,brother
оборудование,equipment
буфет,sideboard
аргумент,argument
неожиданность,unexpectedness
цирк,circus
луг,meadow
инвалид,invalid
исход,outcome
бюро,bureau
бедро,thing
вздох,deep breath
зелень,greenery
освобождение,liberation
село,village
аэродром,airfield
чин,rank
племя,tribe
мышь,mouse
шуба,fur coat
всадник,rider
доступ,access
крючок,hook
медицина,medicine
посольство,embassy
пребывание,stay
кончик,tip
миллиард,billion
монета,coin
свист,whistle
шерсть,hair
предположение,supposition
повар,cook
тварь,creature
казак,Cossack
неудача,failure
приглашение,invitation
размышление,thought
градус,degree
школьник,schoolboy
дровосек,wood-cutter
критика,criticism
китаец,Chinese
философия,philosophy
набор,admission
загадка,riddle
характеристика,description
поэзия,poetry
англичанин,Englishman
бинокль,binocular
колодец,well
седло,saddle
повязка,bandage
порыв,gust
граната,high-explosive shell
хутор,khutor
воспаление,inflammation
пациент,patient
палочка,line
графа,column
покупка,buying
объявление,declaration
роса,dew
воробей,sparrow
простыня,sheet
десятилетие,tenth anniversary
корзина,basket
петля,loop
кампания,campaign
вспышка,flash
гнездо,nest
покойник,the deceased
известие,news
Польша,Poland
ягода,berry
столетие,century
бензин,benzine
француз,Frenchman
упор,rest
отверстие,opening
рама,frame
одиночка,lone person
указ,decree
ограда,fence
ступень,step
злоба,spite
скамья,bench
смесь,mixture
кран,tap
суета,fuss
зрелище,sight
учебник,textbook
противоречие,contradiction
ресница,eyelash
изумление,amazement
башка,noddle
священник,priest
побег,flight
дуб,oak
протяжение,throughout
штурман,navigator
хата,hut
философ,philosopher
расположение,disposition
эпизод,episode
знамя,banner
яд,poison
обман,deception
вооружение,arming
капуста,cabbage
нуль,nought
группировка,grouping
партизан,partisan
закат,setting
тропинка,path
чепуха,nonsense
историк,historian
удовлетворение,satisfaction
дерьмо,Shit
специальность,speciality
каблук,heel
японец,Japanese
фрукт,fruit
инициатива,initiative
милость,mercy
официант,waiter
головка,leadership
продавец,seller
гитара,guitar
тройка,three
досада,vexation
простор,spaciousness
битва,battle
утверждение,assertion
очаг,hearth
копыто,hoof
чистота,cleanness
бульвар,avenue
интеллигент,intellectual
дракон,dragon
мэр,mayor
пилот,pilot
заговор,plot
кол,stake
шлём,helmet
окурок,cigarette-end
крыса,rat
вой,howl
госпожа,lady
оттенок,tinge
правитель,ruler
весло,oar
кишка,gut
буря,storm
прокуратура,Office of Public Prosecutor
снимок,photo
негодяй,scoundrel
проза,prose
терпение,patience
кузов,basket
внешность,appearance
диплом,diploma
порция,portion
витрина,window
материя,matter
провал,downfall
походка,gait
травма,trauma
отражение,reflection
бак,tank
метод,method
мяч,ball
трасса,line
грамм,gramme
торжество,festival
купол,cupola
мрак,gloom
хребет,spine
идеология,ideology
ребро,rib
религия,religion
батюшка,father
артиллерия,artillery
пехота,infantry
поп,priest
победитель,conqueror
платформа,platform
матч,match
эмоция,emotion
пацан,boy
убеждение,persuasion
обрыв,precipice
плёнка,film
посадка,planting
блокнот,note-book
разбойник,robber
обитатель,inhabitant
мотив,tune
сооружение,building
уничтожение,destruction
полость,cavity
расследование,investigation
нитка,thread
младенец,baby
фигурка,statuette
игрок,player
коза,goat
интонация,intonation
порода,race
лозунг,slogan
профессионал,professional
сотрудничество,collaboration
темп,rate
обещание,promise
переводчик,translator
занавеска,curtain
соглашение,agreement
печаль,grief
выпуск,issue
незнакомец,stranger
гром,thunder
формирование,forming
изделие,make
казнь,execution
местность,country
невроз,neurosis
прощение,forgiveness
висок,temple
банда,band
хохот,laughter
рассуждение,reasoning
траншея,trench
холл,hall
понедельник,Monday
мундир,full-dress uniform
голубчик,my dear fellow
кукла,doll
конструкция,construction
капитализм,capitalism
веко,eyelid
корпорация,corporation
поручение,commission
протест,protest
баран,ram
кличка,name
погон,should-strap
потомок,descendant
печень,liver
защитник,defender
обеспечение,guaranteeing
заслуга,merit
отвращение,aversion
строитель,builder
стон,moan
землянка,dug-out
хирург,surgeon
рельс,rail
изучение,study
призыв,call
сорт,sort
пластинка,plate
брюхо,belly
стоянка,stand
правление,governing
падаль,carrion
испуг,fright
будка,box
постановление,decision
жилец,tenant
обсуждение,discussion
заря,daybreak
разработка,cultivation
касса,cash-desk
царство,reign
таблетка,tablet
сейф,safe
нагрузка,loading
горожанин,townsman
горечь,bitter taste
пейзаж,view
секретарша,secretary
толчок,push
визг,squeal
соединение,joining
семя,seed
осёл,donkey
сетка,net
подразделение,subdivision
контракт,contract
устав,regulations
равновесие,equilibrium
том,volume
пруд,pond
плоть,flesh
самоубийство,suicide
посол,ambassador
провинция,province
грань,border
публикация,publication
комар,gnat
купец,merchant
фокус,focus
разряд,discharge
трещина,crack
бытие,being
кастрюля,pan
мудрость,wisdom
ведомство,department
заросль,brushwood
щенок,puppy
таблица,table
презрение,contempt
гусь,goose
красавец,handsome man
