language,area
Comanche,North America
South Levantine Arabic,Eurasia
Oku,Africa
Winye,Africa
Amis,Papua
Klon,Papua
Mundani,Africa
Manx,Eurasia
Romansh,Eurasia
Mamanwa,Papua
Xaasongaxango,Africa
Tiri-Mea,Papua
Papiamento,North America
Lambadi,Eurasia
Siksika,North America
Siriono,South America
Sicilian,Eurasia
Nyiha (Tanzania),Africa
Mbya Guarani,South America
Carolinian,Papua
Assyrian Neo-Aramaic,Eurasia
Western Pantar,Papua
Bambam,Papua
Yandruwandha,Australia
Iwaidja,Australia
Temein,Africa
Guduf-Gava,Africa
Takia,Papua
Achi,North America
Kalmyk,Eurasia
Kekchi,North America
Dungan,Eurasia
Djambarrpuyngu,Australia
Sherbro,Africa
Anambe,South America
Masalit,Africa
Mogholi,Eurasia
Iha,Papua
Ute-Southern Paiute,North America
Romansh,Eurasia
Chittagonian,Eurasia
Usila Chinantec,North America
Mey,Eurasia
Ngala,Papua
Qimant,Africa
Binandere,Papua
Eton-Mengisa,Africa
Boko (Benin),Africa
Western Apache,North America
Western Bukidnon Manobo,Papua
Shan,Eurasia
Iatmul,Papua
Lelemi,Africa
Papantla Totonac,North America
Kakua,South America
Yurok,North America
Dhuwal,Australia
Icelandic,Eurasia
Tikar,Africa
Yuki,North America
Loma (Liberia),Africa
Bouyei,Eurasia
Konkani,Eurasia
'Are'are,Papua
Udi,Eurasia
Mali,Papua
Kankanaey,Papua
Cocopa,North America
Dagur,Eurasia
Naro,Africa
Kalmyk,Eurasia
Central Yupik,North America
Migaama,Africa
Ma (Democratic Republic of Congo),Africa
Mullukmulluk,Australia
Ke'o,Papua
Western Niger Fulfulde,Africa
Marathi,Eurasia
Jeli,Africa
Dargwa,Eurasia
Sobei,Papua
Huehuetla Tepehua,North America
Sinte Romani,Eurasia
Iaai,Papua
Loko,Africa
Soo,Africa
Chipewyan,North America
Sena,Africa
Gorontalo,Papua
Faroese,Eurasia
Abidji,Africa
Dawro,Africa
Trio,South America
Cajun French,North America
Negidal,Eurasia
Yugambeh-Bandjalang,Australia
Biri,Australia
Jewish Babylonian Aramaic (ca. 200-1200 CE),Eurasia
Nopala Chatino,North America
Lower Tanana,North America
Bavarian,Eurasia
Nanerige Senoufo,Africa
Embaloh,Papua
Amara,Papua
Sapuan,Eurasia
Gooniyandi,Australia
Arbore,Africa
Imbabura Highland Quichua,South America
Huambisa,South America
Balkan Romani,Eurasia
Lampung Api,Papua
Ngad'a,Papua
Swiss German,Eurasia
Wamey,Africa
Colloquial Malay,Eurasia
Eastern Canadian Inuktitut,North America
Cebaara Senoufo,Africa
Tedaga,Africa
Northern Toussian,Africa
Central Aymara,South America
Northern Qiang,Eurasia
Mising-Padam-Miri-Minyong,Eurasia
Baka (Sudan),Africa
Chol,North America
Matigsalug Manobo,Papua
Tirma-Chai,Africa
Mountain Koiali,Papua
Amharic,Africa
Hdi,Africa
Dutch,Eurasia
Isnag,Papua
Yugambeh-Bandjalang,Australia
Lohorung,Eurasia
Balinese,Papua
Mahou,Africa
Ossetian,Eurasia
Tabla,Papua
Tojolabal,North America
Tachelhit,Africa
Aruamu,Papua
Hakka Chinese,Eurasia
Garifuna,North America
Eastern Bolivian Guarani,South America
Jarawa (India),Eurasia
Pinotepa Nacional Mixtec,North America
Quechan,North America
Koho,Eurasia
Duma,Africa
Aja (Benin),Africa
Sonsorol,Papua
Campidanese Sardinian,Eurasia
Balti,Eurasia
Xiang Chinese,Eurasia
Fore,Papua
Anindilyakwa,Australia
Kabiye,Africa
Ditidaht,North America
Mbara (Chad),Africa
Thayore,Australia
Maquiritari,South America
Pawnee,North America
Waata,Africa
Eastern Highland Otomi,North America
Dongo,Africa
Anamuxra,Papua
Noone,Africa
Chuave,Papua
Tigak,Papua
Panara,South America
Tacana,South America
Portuguese,Eurasia
Isirawa,Papua
Chepang,Eurasia
Tumak,Africa
Ache (Tupian),South America
Yidgha,Eurasia
Bare,South America
Achinese,Eurasia
Pari,Africa
Arhuaco,South America
Breton,Eurasia
South Efate,Papua
Hassaniyya,Africa
Kambaata,Africa
Yulu,Africa
Nehan,Papua
Korowai,Papua
Ömie,Papua
Jaru,Australia
Cerma,Africa
Dibole,Africa
Isthmus-Pajapan Nahuatl,North America
Jehai,Eurasia
Coastal Kadazan,Papua
Kadiweu,South America
Babine,North America
Kawaiisu,North America
Munduruku,South America
Urdu,Eurasia
Northwest Gbaya,Africa
Mossi,Africa
Turkish,Eurasia
Parya,Eurasia
Patep,Papua
Achagua,South America
Afar,Africa
Ma'anyan,Papua
Meyah,Papua
Mi'kmaq,North America
Tirma-Chai,Africa
Demta,Papua
Dogri,Eurasia
Swiss German,Eurasia
Parecis,South America
Aromanian,Eurasia
Baruya,Papua
Boikin,Papua
Maijiki,South America
Narom,Papua
Selaru,Papua
Manange,Eurasia
Alacatlatzala Mixtec,North America
Khakas,Eurasia
Pawaia,Papua
Kasem,Africa
Kamoro,Papua
Sedang,Eurasia
Uripiv-Wala-Rano-Atchin,Papua
Arabana,Australia
Gun,Africa
Bawm Chin,Eurasia
Benga,Africa
Mokpwe,Africa
Pwo Northern Karen,Eurasia
Taroko,Papua
Longgu,Papua
Guro,Africa
Carrier,North America
Shoshoni,North America
Musom,Papua
Tboli,Papua
Kumyk,Eurasia
Pwo Eastern Karen,Eurasia
Iduna,Papua
Bora,South America
Gujari,Eurasia
Tatuyo,South America
Budukh,Eurasia
Tsakhur,Eurasia
Cebuano,Papua
Haka Chin,Eurasia
Seimat,Papua
Malayalam,Eurasia
Anuak,Africa
Chantyal,Eurasia
Alamblak,Papua
Eastern Yiddish,Eurasia
Lamang,Africa
Murui Huitoto,South America
Nanggu,Papua
Nepali Kurux,Eurasia
Oirata,Papua
North Slavey,North America
Shekkacho,Africa
Yil,Papua
Playero,South America
Mangarayi,Australia
Waris,Papua
Tohono O'odham,North America
Tsonga,Africa
Tunen,Africa
Sunwar,Eurasia
Mazanderani,Eurasia
Lonwolwol,Papua
Yele,Papua
Kamas-Koibal,Eurasia
Tswana,Africa
East Makian,Papua
Choctaw,North America
Kalasha,Eurasia
Modern Hebrew,Eurasia
Ama (Sudan),Africa
Karelian,Eurasia
Chorti,North America
Koitabu,Papua
North Tairora,Papua
Bulgarian,Eurasia
Lhomi,Eurasia
Sikaritai,Papua
Biatah Bidayuh,Papua
Belep,Papua
Baram Kayan,Papua
Nuu-chah-nulth,North America
Mehek,Papua
Northern Pomo,North America
Thao,Papua
Molmo One,Papua
Luang,Papua
Ume Sami,Eurasia
Comaltepec Chinantec,North America
Numanggang,Papua
Kele (Papua New Guinea),Papua
Gamilaraay,Australia
Northern Lushootseed,North America
Inga,South America
Wik-Ngathana,Australia
Imbongu,Papua
Nafaanra,Africa
Bera,Africa
Ron,Africa
Isekiri,Africa
Roviana,Papua
Southern Sami,Eurasia
Ngarluma,Australia
Teiwa,Papua
San Miguel El Grande Mixtec,North America
Khun,Eurasia
Sumi Naga,Eurasia
Texistepec Popoluca,North America
Mundari,Eurasia
Gulf Arabic,Eurasia
Ngambay,Africa
Poqomchi',North America
Guragone,Australia
Kirghiz,Eurasia
Lule Sami,Eurasia
Norwegian,Eurasia
Maranunggu,Australia
Pa'a,Africa
North Nuaulu,Papua
Sango,Africa
Tarao,Eurasia
Cha'palaa,South America
North-Central Talysh,Eurasia
Limilngan,Australia
Balanta-Ganja,Africa
Murle,Africa
Kapingamarangi,Papua
Ao Naga,Eurasia
Dyirbal,Australia
Mono-Alu,Papua
Avestan,Eurasia
Amdo Tibetan,Eurasia
Lusi,Papua
Queretaro Otomi,North America
Tlahuitoltepec Mixe,North America
Qaqet,Papua
Even,Eurasia
Zulu,Africa
Brahui,Eurasia
Kara (Tanzania),Africa
Nigerian Pidgin,Africa
Urak Lawoi',Eurasia
Turkana,Africa
Apalai,South America
Sikkimese,Eurasia
Izi-Ezaa-Ikwo-Mgbo,Africa
Ngaanyatjarra,Australia
Machiguenga,South America
Italian,Eurasia
Komi-Zyrian,Eurasia
Nar Phu,Eurasia
West Makian,Papua
Sangu (Gabon),Africa
Lahu,Eurasia
Mukulu,Africa
Tampulma,Africa
Bimoba,Africa
Garo,Eurasia
Ga,Africa
Anyin,Africa
Guugu Yimidhirr,Australia
Swahili,Africa
Straits Salish,North America
Loniu,Papua
Gwich'in,North America
Min Nan Chinese,Eurasia
Highland Puebla Nahuatl,North America
Kashmiri,Eurasia
Kenyang,Africa
Hawaiian,Papua
Carijona,South America
Siwai,Papua
Bole,Africa
Toaripi,Papua
Halang,Eurasia
Principense,Africa
Masana,Africa
Makonde,Africa
Kera,Africa
German,Eurasia
Makhuwa,Africa
Pite Sami,Eurasia
Haitian,North America
Eastern Yiddish,Eurasia
Tundra Nenets,Eurasia
Tangga,Papua
Tanacross,North America
Emerillon,South America
Nganasan,Eurasia
Chamalal,Eurasia
Iwam,Papua
Nyishi-Hill Miri,Eurasia
Peripheral Mongolian,Eurasia
Tabasaran,Eurasia
Kwomtari,Papua
Sochiapam Chinantec,North America
Gela,Papua
Kaulong,Papua
Khmu,Eurasia
North Wahgi,Papua
Mokilese,Papua
Rukai,Papua
Gupapuyngu,Australia
Lachi,Eurasia
Shahrudi,Eurasia
Yeyi,Africa
Efik,Africa
Votic,Eurasia
Gayo,Papua
Thompson,North America
Mudbura,Australia
Wiyot,North America
Hmar,Eurasia
Pulaar,Africa
Hupa,North America
Daasanach,Africa
Dangaleat,Africa
Fordata,Papua
Kaike,Eurasia
Yei,Papua
Mangbetu,Africa
Kotia-Adivasi Oriya-Desiya,Eurasia
Teso,Africa
Suabo,Papua
Enga,Papua
Thangmi,Eurasia
Western Dani,Papua
Omagua,South America
Nigeria Mambila,Africa
Kashubian,Eurasia
Luba-Lulua,Africa
Zayse-Zergulla,Africa
Moru,Africa
Wedau,Papua
Ainu (China),Eurasia
Skou,Papua
Nyulnyul,Australia
Bavarian,Eurasia
Xerente,South America
Gogodala,Papua
Ngemba,Africa
Mende (Papua New Guinea),Papua
Central Tunebo,South America
Urhobo,Africa
Miriwung,Australia
Naxi,Eurasia
Arabela,South America
Filomena Mata Totonac,North America
Iyojwa'ja Chorote,South America
Halbi,Eurasia
Berom,Africa
Uighur,Eurasia
Eastern Cham,Eurasia
Wolio,Papua
Klao,Africa
Dizin,Africa
Puma,Eurasia
Ormuri,Eurasia
Maguindanao,Papua
Balkan Romani,Eurasia
Dhangu,Australia
Niuafo'ou,Papua
Sangir,Papua
Leh-Kenhat,Eurasia
Nande,Africa
Zay,Africa
Venda,Africa
Adyghe,Eurasia
Kaiwa,South America
Panare,South America
Subiya,Africa
Nyang'i,Africa
Italian,Eurasia
Naga Pidgin,Eurasia
North Giziga,Africa
Eastern Maninkakan,Africa
Dahalo,Africa
Ap Ma,Papua
Woleaian,Papua
Eipomek,Papua
Huarijio,North America
Shipibo-Conibo,South America
Baga Sitemu,Africa
Jamamadi,South America
Mashco Piro,South America
Meskwaki,North America
Balkan Romani,Eurasia
Yekhee,Africa
Severn Ojibwa,North America
Adamawa Fulfulde,Africa
Siraya,Papua
Southwest Gbaya,Africa
Bankon,Africa
Tlaxcala-Puebla-Central Nahuatl,North America
Quiotepec Chinantec,North America
East Ambae,Papua
Urim,Papua
Northern Paiute,North America
Danish,Eurasia
Aghem,Africa
Lao,Eurasia
Cao Miao,Eurasia
Ute-Southern Paiute,North America
Tatana,Papua
Furu,Africa
Ayacucho Quechua,South America
Ngalkbun,Australia
Wayu,Eurasia
Korafe-Yegha,Papua
Ngalakan,Australia
Tunisian Arabic,Africa
